,fun,is_original,log10_dt,n,name,times
11,<function <lambda> at 0x7fb61cc5fd70>,False,-3.694326e+00,5120,svd_ent,100
12,<function <lambda> at 0x7fb61cc5fde8>,True,-2.138592e+00,5120,fisher_info,10
13,<function <lambda> at 0x7fb61cc5fe60>,False,-3.678834e+00,5120,fisher_info,100
14,<function <lambda> at 0x7fb61cc5fed8>,True,-3.251540e+00,5120,spectral_entropy,100
15,<function <lambda> at 0x7fb61cc5ff50>,False,-3.516442e+00,5120,spectral_entropy,100
0,<function <lambda> at 0x7fb61cc5f848>,True,-1.489023e+00,6400,hfd,100
1,<function <lambda> at 0x7fb61cc5f8c0>,False,-2.719536e+00,6400,hfd,100
2,<function <lambda> at 0x7fb61cc5f938>,True,-1.835539e+00,6400,hjorth,100
3,<function <lambda> at 0x7fb61cc5f9b0>,False,-3.948727e+00,6400,hjorth,100
4,<function <lambda> at 0x7fb61cc5fa28>,True,-2.118189e+00,6400,pfd,100
5,<function <lambda> at 0x7fb61cc5faa0>,False,-2.121881e+00,6400,pfd,100
6,<function <lambda> at 0x7fb61cc5fb18>,True,1.811536e+00,6400,samp_ent,1
7,<function <lambda> at 0x7fb61cc5fb90>,False,-1.340721e-02,6400,samp_ent,10
8,<function <lambda> at 0x7fb61cc5fc08>,True,1.889913e+00,6400,ap_ent,1
9,<function <lambda> at 0x7fb61cc5fc80>,False,5.163040e-01,6400,ap_ent,10
10,<function <lambda> at 0x7fb61cc5fcf8>,True,-2.038650e+00,6400,svd_ent,10
11,<function <lambda> at 0x7fb61cc5fd70>,False,-3.615647e+00,6400,svd_ent,100
12,<function <lambda> at 0x7fb61cc5fde8>,True,-2.040725e+00,6400,fisher_info,10
13,<function <lambda> at 0x7fb61cc5fe60>,False,-3.602527e+00,6400,fisher_info,100
14,<function <lambda> at 0x7fb61cc5fed8>,True,-3.170182e+00,6400,spectral_entropy,100
15,<function <lambda> at 0x7fb61cc5ff50>,False,-3.467692e+00,6400,spectral_entropy,100
0,<function <lambda> at 0x7fb61cc5f848>,True,-1.410824e+00,7680,hfd,100
1,<function <lambda> at 0x7fb61cc5f8c0>,False,-2.680850e+00,7680,hfd,100
2,<function <lambda> at 0x7fb61cc5f938>,True,-1.755877e+00,7680,hjorth,100
3,<function <lambda> at 0x7fb61cc5f9b0>,False,-3.918183e+00,7680,hjorth,100
4,<function <lambda> at 0x7fb61cc5fa28>,True,-2.040442e+00,7680,pfd,100
5,<function <lambda> at 0x7fb61cc5faa0>,False,-2.040849e+00,7680,pfd,100
6,<function <lambda> at 0x7fb61cc5fb18>,True,1.977630e+00,7680,samp_ent,1
7,<function <lambda> at 0x7fb61cc5fb90>,False,1.250793e-01,7680,samp_ent,10
8,<function <lambda> at 0x7fb61cc5fc08>,True,2.062217e+00,7680,ap_ent,1
9,<function <lambda> at 0x7fb61cc5fc80>,False,6.824770e-01,7680,ap_ent,10
10,<function <lambda> at 0x7fb61cc5fcf8>,True,-1.947176e+00,7680,svd_ent,10
11,<function <lambda> at 0x7fb61cc5fd70>,False,-3.536286e+00,7680,svd_ent,100
12,<function <lambda> at 0x7fb61cc5fde8>,True,-1.946173e+00,7680,fisher_info,10
13,<function <lambda> at 0x7fb61cc5fe60>,False,-3.524927e+00,7680,fisher_info,100
14,<function <lambda> at 0x7fb61cc5fed8>,True,-3.083009e+00,7680,spectral_entropy,100
15,<function <lambda> at 0x7fb61cc5ff50>,False,-3.406027e+00,7680,spectral_entropy,100
